,name,ratings,review_count,ctype,years,hq,employees
0,TCS,3.8,(59.5k Reviews),Public,55 years old,"Mumbai,Maharashtra + 276 more",1 Lakh+ Employees (India)
1,Accenture,4.1,(38.1k Reviews),Public,34 years old,Dublin + 139 more,1 Lakh+ Employees (India)
2,Cognizant,3.9,(34.7k Reviews),Private,29 years old,Teaneck. New Jersey. + 109 more,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(28.4k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1150 more",1 Lakh+ Employees (India)
4,Wipro,3.9,(28.1k Reviews),Public,78 years old,"Bangalore/Bengaluru,Karnataka + 235 more",1 Lakh+ Employees (India)
5,HDFC Bank,3.9,(27.6k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1380 more",1 Lakh+ Employees (India)
6,Infosys,3.9,(25.9k Reviews),Public,42 years old,"Bengaluru/Bangalore,Karnataka + 132 more",1 Lakh+ Employees (India)
7,Capgemini,3.9,(24.3k Reviews),Public,56 years old,Paris + 81 more,1 Lakh+ Employees (India)
8,Tech Mahindra,3.7,(22.7k Reviews),Public,37 years old,"Pune,Maharashtra + 221 more",1 Lakh+ Employees (India)
9,Genpact,4.0,(22k Reviews),Public,26 years old,"New York,New York + 75 more",1 Lakh+ Employees (India)
10,HCLTech,3.8,(21.5k Reviews),Public,32 years old,"Noida,Uttar Pradesh + 147 more",1 Lakh+ Employees (India)
11,Axis Bank,3.9,(18.6k Reviews),Public,30 years old,"Mumbai,Maharashtra + 1194 more",50k-1 Lakh Employees (India)
12,Concentrix Corpo...,4.0,(17.4k Reviews),Public,40 years old,"Fremont,California + 77 more",10k-50k Employees (India)
13,IBM,4.1,(17.3k Reviews),Public,112 years old,"Armonk,New York + 127 more",50k-1 Lakh Employees (India)
14,Reliance Jio,4.0,(16.8k Reviews),Public,16 years old,"Navi Mumbai,Maharashtra + 1056 more",50k-1 Lakh Employees (India)
15,Amazon,4.2,(16.6k Reviews),Public,29 years old,"Seattle,Washington + 381 more",1 Lakh+ Employees (India)
16,Larsen & Toubro ...,4.0,(16k Reviews),Public,85 years old,"Mumbai,Maharashtra + 558 more",1 Lakh+ Employees (India)
17,HDB Financial Se...,4.0,(15.1k Reviews),Private,16 years old,"Ahmedabad,Gujrat + 859 more",10k-50k Employees (India)
18,Reliance Retail,4.0,(14.1k Reviews),Private,17 years old,"Navi Mumbai,Maharashtra + 830 more",1 Lakh+ Employees (India)
19,Vodafone Idea,4.2,(13.9k Reviews),Public,5 years old,"Gandhinagar,Gujrat + 589 more",10k-50k Employees (India)
20,Teleperformance,3.6,(13.9k Reviews),Private,45 years old,Paris + 127 more,10k-50k Employees (India)
21,Deloitte,4.0,(11.7k Reviews),Private,178 years old,"London,United Kingdom + 138 more",50k-1 Lakh Employees (India)
22,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,20 years old,"Mumbai,Maharashtra + 500 more",10k-50k Employees (India)
23,BYJU'S,3.2,(11.3k Reviews),Private,12 years old,"Bangalore,Karnataka + 282 more",1k-5k Employees (India)
24,Reliance Industr...,4.0,(11k Reviews),Public,50 years old,"Navi Mumbai,Maharashtra + 557 more",1 Lakh+ Employees (Global)
25,Bharti Airtel,4.1,(10.3k Reviews),Public,28 years old,"Gurgaon/Gurugram,Haryana + 570 more",10k-50k Employees (India)
26,Tata Motors,4.2,(9.6k Reviews),Public,78 years old,"Pune,Maharashtra + 401 more",50k-1 Lakh Employees (India)
27,Flipkart,4.1,(8.3k Reviews),Public,16 years old,"Bangalore,Karnataka + 481 more",10k-50k Employees (India)
28,WNS,3.6,(8k Reviews),Private,27 years old,"Mumbai,Maharashtra + 25 more",10k-50k Employees (India)
29,Ernst & Young,3.7,(8k Reviews),Private,21 years old,London + 80 more,10k-50k Employees (India)
30,TCS,3.8,(59.5k Reviews),Public,55 years old,"Mumbai,Maharashtra + 276 more",1 Lakh+ Employees (India)
31,Accenture,4.1,(38.1k Reviews),Public,34 years old,Dublin + 139 more,1 Lakh+ Employees (India)
32,Cognizant,3.9,(34.7k Reviews),Private,29 years old,Teaneck. New Jersey. + 109 more,1 Lakh+ Employees (India)
33,ICICI Bank,4.0,(28.4k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1150 more",1 Lakh+ Employees (India)
34,Wipro,3.9,(28.1k Reviews),Public,78 years old,"Bangalore/Bengaluru,Karnataka + 235 more",1 Lakh+ Employees (India)
35,HDFC Bank,3.9,(27.6k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1380 more",1 Lakh+ Employees (India)
36,Infosys,3.9,(25.9k Reviews),Public,42 years old,"Bengaluru/Bangalore,Karnataka + 132 more",1 Lakh+ Employees (India)
37,Capgemini,3.9,(24.3k Reviews),Public,56 years old,Paris + 81 more,1 Lakh+ Employees (India)
38,Tech Mahindra,3.7,(22.7k Reviews),Public,37 years old,"Pune,Maharashtra + 221 more",1 Lakh+ Employees (India)
39,Genpact,4.0,(22k Reviews),Public,26 years old,"New York,New York + 75 more",1 Lakh+ Employees (India)
40,HCLTech,3.8,(21.5k Reviews),Public,32 years old,"Noida,Uttar Pradesh + 147 more",1 Lakh+ Employees (India)
41,Axis Bank,3.9,(18.6k Reviews),Public,30 years old,"Mumbai,Maharashtra + 1194 more",50k-1 Lakh Employees (India)
42,Concentrix Corpo...,4.0,(17.4k Reviews),Public,40 years old,"Fremont,California + 77 more",10k-50k Employees (India)
43,IBM,4.1,(17.3k Reviews),Public,112 years old,"Armonk,New York + 127 more",50k-1 Lakh Employees (India)
44,Reliance Jio,4.0,(16.8k Reviews),Public,16 years old,"Navi Mumbai,Maharashtra + 1056 more",50k-1 Lakh Employees (India)
45,Amazon,4.2,(16.6k Reviews),Public,29 years old,"Seattle,Washington + 381 more",1 Lakh+ Employees (India)
46,Larsen & Toubro ...,4.0,(16k Reviews),Public,85 years old,"Mumbai,Maharashtra + 558 more",1 Lakh+ Employees (India)
